"","x"
"1043","BCL2A1"
"1044","BCL2L1"
"1045","BCL2L11"
"1046","BCL2L12"
"1047","BCL2L13"
"1048","BCL2L2"
"1049","BCL3"
"1050","BCL6"
"1051","BCL7A"
"1052","BCL7B"
"1053","BCL7C"
"1054","BCL9"
"1055","BCL9L"
"1056","BCLAF1"
"1057","BCO2"
"1058","BCOR"
"1059","BCORL1"
"1060","BCR"
"1061","BCS1L"
"1062","BDH1"
"1063","BDH2"
"1064","BDNF-AS"
"1065","BDP1"
"1066","BECN1"
"1067","BEND5"
"1068","BEST1"
"1069","BEST4"
"1070","BET1"
"1071","BET1L"
"1072","BEX1"
"1073","BEX2"
"1074","BEX4"
"1075","BFAR"
"1076","BHLHB9"
"1077","BHLHE40"
"1078","BICD1"
"1079","BICD2"
"1080","BID"
"1081","BIK"
"1082","BIN1"
"1083","BIN2"
"1084","BIN3"
"1085","BIRC2"
"1086","BIRC3"
"1087","BIRC5"
"1088","BIRC6"
"1089","BIVM"
"1090","BLCAP"
"1091","BLK"
"1092","BLM"
"1093","BLMH"
"1094","BLNK"
"1095","BLOC1S1"
"1096","BLOC1S2"
"1097","BLOC1S3"
"1098","BLOC1S4"
"1099","BLOC1S5"
"1100","BLOC1S6"
"1101","BLVRA"
"1102","BLVRB"
"1103","BLZF1"
"1104","BMF"
"1105","BMI1"
"1106","BMP1"
"1107","BMP2K"
"1108","BMP8B"
"1109","BMPR1A"
"1110","BMPR2"
"1111","BMS1"
"1112","BNC2"
"1113","BNIP1"
"1114","BNIP2"
"1115","BNIP3"
"1116","BNIP3L"
"1117","BNIPL"
"1118","BOD1"
"1119","BOD1L1"
"1120","BOK"
"1121","BOLA1"
"1122","BOLA2B"
"1123","BOLA3"
"1124","BOLA3-AS1"
"1125","BORA"
"1126","BPGM"
"1127","BPHL"
"1128","BPNT1"
"1129","BPTF"
"1130","BRAF"
"1131","BRAP"
"1132","BRAT1"
"1133","BRCA1"
"1134","BRCA2"
"1135","BRCC3"
"1136","BRD1"
"1137","BRD2"
"1138","BRD3"
"1139","BRD4"
"1140","BRD7"
"1141","BRD8"
"1142","BRD9"
"1143","BRE"
"1144","BRF1"
"1145","BRF2"
"1146","BRI3"
"1147","BRI3BP"
"1148","BRICD5"
"1149","BRIP1"
"1150","BRIX1"
"1151","BRK1"
"1152","BRMS1"
"1153","BRMS1L"
"1154","BROX"
"1155","BRPF1"
"1156","BRPF3"
"1157","BRSK1"
"1158","BRWD1"
"1159","BRWD3"
"1160","BSDC1"
"1161","BSG"
"1162","BSPRY"
"1163","BST1"
"1164","BST2"
"1165","BTAF1"
"1166","BTBD1"
"1167","BTBD10"
"1168","BTBD11"
"1169","BTBD19"
"1170","BTBD2"
"1171","BTBD3"
